帧,时间,播放,评论,同时人数,同时人数不带加号,点赞,投币,收藏,转发
3175686,2024-08-20T12:35:27+08:00,312.3,2.0,3000+,3000,29.5,30.5,11.2,4.5
1767719,2024-08-20T06:04:21+08:00,267.5,1.8,1000+,1000,27.3,28.4,10.4,4.3
4212758,2024-08-20T17:23:32+08:00,333.2,2.1,2000+,2000,30.7,31.7,11.6,4.7
3186488,2024-08-20T12:38:27+08:00,312.8,2.0,3000+,3000,29.5,30.5,11.2,4.5
39265,2024-08-19T22:04:13+08:00,232.6,1.6,5000+,5000,25.0,25.7,9.5,4.0
1245581,2024-08-20T03:39:19+08:00,264.6,1.8,1000+,1000,27.2,28.2,10.4,4.3
4007505,2024-08-20T16:26:31+08:00,330.2,2.1,2000+,2000,30.5,31.6,11.5,4.6
3906679,2024-08-20T15:58:30+08:00,328.7,2.1,2000+,2000,30.4,31.5,11.5,4.6
4536844,2024-08-20T18:53:33+08:00,338.7,2.2,2000+,2000,31.0,32.1,11.7,4.7
853073,2024-08-20T01:50:17+08:00,260.9,1.8,2000+,2000,27.0,27.9,10.3,4.3
392157,2024-08-19T23:42:15+08:00,249.8,1.7,5000+,5000,26.2,26.8,10.0,4.2
838674,2024-08-20T01:46:17+08:00,260.7,1.8,2000+,2000,26.9,27.9,10.3,4.3
1393220,2024-08-20T04:20:19+08:00,265.4,1.8,1000+,1000,27.2,28.3,10.4,4.3
3715829,2024-08-20T15:05:29+08:00,325.6,2.1,2000+,2000,30.3,31.3,11.4,4.6
273327,2024-08-19T23:09:14+08:00,244.2,1.7,4000+,4000,25.8,26.4,9.8,4.1
1313999,2024-08-20T03:58:19+08:00,265.0,1.8,1000+,1000,27.2,28.2,10.4,4.3
4385604,2024-08-20T18:11:32+08:00,336.0,2.2,2000+,2000,30.9,31.9,11.7,4.7
3939087,2024-08-20T16:07:30+08:00,329.2,2.1,2000+,2000,30.5,31.5,11.5,4.6
4209157,2024-08-20T17:22:32+08:00,333.2,2.1,2000+,2000,30.7,31.7,11.6,4.7
1990977,2024-08-20T07:06:22+08:00,271.1,1.8,1000+,1000,27.5,28.5,10.5,4.3
3726632,2024-08-20T15:08:30+08:00,325.8,2.1,2000+,2000,30.3,31.3,11.5,4.6
